Total number of analyzed documents: 496,575,229
Number of annotated documents (i.e., having at least one annotated entity): 394,051,027
Number of annotated entity mentions: 9,424,008,053

Breakdown by the number of entities annotated in a document:

Number		Number of documents with that
of entities	many annotated entities

1	67,711,816
2	49,529,202
3	39,269,248
4	28,910,048
5	23,280,193
6	19,032,236
7	16,341,800
8	14,172,028
9	12,463,504
10	10,985,607
11	9,871,904
12	8,936,569
13	7,897,318
14	7,052,209
15	6,397,822
16	5,853,436
17	5,395,302
18	4,884,154
19	4,448,395
20	3,984,851
21	3,605,584
22	3,278,981
23	2,953,721
24	2,663,611
25	2,405,230
26	2,194,328
27	1,978,488
28	1,802,300
29	1,639,131
30	1,494,234
31	1,343,826
32	1,229,080
33	1,125,043
34	1,016,087
35	934,975
36	856,256
37	771,885
38	710,056
39	646,062
40	591,642
41	545,743
42	501,883
43	465,161
44	441,792
45	408,103
46	372,848
47	351,433
48	333,159
49	323,106
50	298,399
51	271,793
52	255,789
53	243,660
54	224,859
55	219,784
56	208,504
57	194,123
58	187,279
59	180,089
60	173,832
61	169,327
62	168,944
63	161,492
64	156,766
65	152,762
66	150,395
67	147,036
68	143,212
69	140,453
70	140,175
71	138,414
72	137,269
73	137,696
74	146,324
75	130,263
76	130,353
77	126,670
78	124,144
79	120,764
80	113,988
81	111,049
82	107,597
83	104,313
84	101,553
85	97,385
86	91,823
87	95,867
88	84,512
89	83,870
90	76,329
91	73,285
92	70,460
93	69,115
94	62,255
95	60,809
96	61,951
97	57,037
98	54,303
99	51,819
>99	3,839,747
